time,Cout
0,124
10,148
20,631
30,1127
40,1367
50,1452
60,1488
70,1483
80,1459
90,1426
100,1393
110,1350
120,1322
130,1275
140,1239
150,1201
160,1162
170,1125
180,1093
190,1056
200,1026
210,987
220,962
230,931
240,903
250,880
260,852
270,820
280,792
290,773
300,750
310,728
320,701
330,687
340,664
350,643
360,624
370,604
380,588
390,571
400,555
410,539
420,518
430,508
440,494
450,482
460,464
470,453
480,442
490,429
500,416
510,406
520,396
530,387
540,377
550,368
560,359
570,351
580,342
590,333
600,325
610,316
620,312
630,304
640,297
650,290
660,284
670,277
680,271
690,266
700,263
710,256
720,246
730,244
740,241
750,236
760,229
770,228
780,225
790,220
800,216
810,214
820,210
830,206
840,204
850,202
860,203
870,200
880,196
890,194
900,191
910,189
920,188
930,184
940,182
950,180
960,178
970,175
980,172
990,171
1000,169
1010,169
1020,166
1030,164
1040,163
1050,161
1060,160
1070,159
1080,158
1090,156
1100,154
1110,154
1120,153
1130,152
1140,151
1150,150
1160,149
1170,148
1180,146
1190,146
1200,145
1210,145
1220,143
1230,142
1240,143
1250,142
1260,138
1270,140
1280,139
1290,139
1300,138
1310,138
1320,137
1330,137
1340,136
1350,137
1360,135
1370,135
1380,135
1390,135
1400,134
1410,132
1420,134
1430,132
1440,133
1450,132
1460,133
1470,131
1480,132
1490,131
1500,130
1510,132
1520,130
