time,Cout
0,91
10,91
20,91
30,92
40,92
50,92
60,92
70,92
80,92
90,93
100,93
110,93
120,95
130,96
140,97
150,99
160,102
170,104
180,106
190,111
200,118
210,126
220,134
230,180
240,270
250,491
260,661
270,838
280,940
290,999
300,1063
310,1139
320,1192
330,1225
340,1262
350,1298
360,1337
370,1372
380,1400
390,1417
400,1432
410,1448
420,1468
430,1488
440,1505
450,1516
460,1529
470,1534
480,1542
490,1558
500,1574
510,1586
520,1598
530,1606
540,1616
550,1623
560,1632
570,1628
580,1624
590,1629
600,1636
610,1643
620,1651
630,1656
640,1663
650,1670
660,1677
670,1685
680,1691
690,1698
700,1704
710,1711
720,1717
730,1723
740,1728
750,1732
760,1735
770,1737
780,1740
790,1742
800,1744
810,1746
820,1748
830,1750
840,1751
850,1753
860,1755
870,1756
880,1758
890,1760
900,1761
910,1763
920,1765
930,1766
940,1768
950,1770
960,1772
970,1774
980,1776
990,1778
1000,1779
1010,1780
1020,1781
1030,1782
1040,1783
1050,1783
1060,1784
1070,1785
1080,1786
1090,1787
1100,1788
1110,1789
1120,1789
1130,1790
1140,1791
1150,1792
1160,1793
1170,1793
1180,1794
1190,1794
1200,1795
1210,1796
1220,1796
1230,1796
1240,1797
1250,1798
1260,1799
1270,1799
1280,1800
1290,1800
1300,1800
1310,1800
1320,1801
1330,1800
1340,1801
1350,1802
1360,1802
1370,1802
1380,1803
1390,1803
1400,1803
1410,1804
1420,1804
1430,1804
1440,1805
1450,1805
1460,1805
1470,1806
1480,1806
1490,1807
1500,1806
1510,1807
1520,1807
1530,1808
1540,1808
1550,1809
1560,1809
1570,1810
1580,1810
1590,1811
1600,1812
1610,1812
1620,1813
1630,1813
1640,1813
1650,1814
1660,1814
1670,1814
